[ 2023-03-26 12:07:37,854 ] 22 root - ERROR - Error occurred: mat1 and mat2 shapes cannot be multiplied (14336x14 and 256x399)
[ 2023-03-26 12:07:37,855 ] 47 root - ERROR - Error occurred: Error occured in python script name [C:\Users\Administrator\AppData\Local\Temp\ipykernel_13664\3291935519.py] line number [19] error message[mat1 and mat2 shapes cannot be multiplied (14336x14 and 256x399)]
[ 2023-03-26 12:07:37,855 ] 41 root - ERROR - Error occurred: Error occured in python script name [C:\Users\Administrator\AppData\Local\Temp\ipykernel_13664\3031053703.py] line number [30] error message[Error occured in python script name [C:\Users\Administrator\AppData\Local\Temp\ipykernel_13664\3291935519.py] line number [19] error message[mat1 and mat2 shapes cannot be multiplied (14336x14 and 256x399)]]
[ 2023-03-26 12:19:54,780 ] 19 root - INFO - building vocabulary
[ 2023-03-26 12:35:27,868 ] 31 root - INFO - completed building vocabulary
[ 2023-03-26 12:35:27,871 ] 17 root - INFO - Tranforming data completed
[ 2023-03-26 12:35:27,871 ] 41 root - INFO - Initializing model
[ 2023-03-26 12:35:28,278 ] 45 root - INFO - Initializing model completed
[ 2023-03-26 12:35:28,278 ] 51 root - INFO - Finetuning cnn model
[ 2023-03-26 12:35:28,279 ] 30 root - INFO - Testing the correctness of an example
[ 2023-03-26 12:35:28,299 ] 28 root - INFO - Captioning images
[ 2023-03-26 12:35:28,299 ] 17 root - INFO - Initializing encoder using resnet
[ 2023-03-26 12:35:28,373 ] 22 root - ERROR - Error occurred: mat1 and mat2 shapes cannot be multiplied (14336x14 and 256x256)
[ 2023-03-26 12:35:28,373 ] 47 root - ERROR - Error occurred: Error occured in python script name [C:\Users\Administrator\AppData\Local\Temp\ipykernel_13664\3291935519.py] line number [19] error message[mat1 and mat2 shapes cannot be multiplied (14336x14 and 256x256)]
[ 2023-03-26 12:35:28,373 ] 41 root - ERROR - Error occurred: Error occured in python script name [C:\Users\Administrator\AppData\Local\Temp\ipykernel_13664\3031053703.py] line number [30] error message[Error occured in python script name [C:\Users\Administrator\AppData\Local\Temp\ipykernel_13664\3291935519.py] line number [19] error message[mat1 and mat2 shapes cannot be multiplied (14336x14 and 256x256)]]
[ 2023-03-26 12:51:19,699 ] 19 root - INFO - building vocabulary
[ 2023-03-26 13:06:05,779 ] 31 root - INFO - completed building vocabulary
